month_start,country_code,expansion_mrr_eur,complete_through_month,data_loaded_at_utc,quality_status
2025-07-01,GB,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-07-01,NL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-07-01,PL,925,2026-06-01,2026-07-01T06:00:00Z,passing
2025-07-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-08-01,AT,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-08-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-08-01,DE,740,2026-06-01,2026-07-01T06:00:00Z,passing
2025-08-01,FR,100,2026-06-01,2026-07-01T06:00:00Z,passing
2025-08-01,GB,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-08-01,NL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-08-01,PL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-08-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-09-01,AT,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-09-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-09-01,DE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-09-01,FR,1130,2026-06-01,2026-07-01T06:00:00Z,passing
2025-09-01,GB,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-09-01,NL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-09-01,PL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-09-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-10-01,AT,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-10-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-10-01,DE,875,2026-06-01,2026-07-01T06:00:00Z,passing
2025-10-01,FR,765,2026-06-01,2026-07-01T06:00:00Z,passing
2025-10-01,GB,495,2026-06-01,2026-07-01T06:00:00Z,passing
2025-10-01,NL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-10-01,PL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-10-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-11-01,AT,880,2026-06-01,2026-07-01T06:00:00Z,passing
2025-11-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-11-01,DE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-11-01,FR,355,2026-06-01,2026-07-01T06:00:00Z,passing
2025-11-01,GB,885,2026-06-01,2026-07-01T06:00:00Z,passing
2025-11-01,NL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-11-01,PL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-11-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-12-01,AT,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-12-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-12-01,DE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-12-01,FR,290,2026-06-01,2026-07-01T06:00:00Z,passing
2025-12-01,GB,760,2026-06-01,2026-07-01T06:00:00Z,passing
2025-12-01,NL,365,2026-06-01,2026-07-01T06:00:00Z,passing
2025-12-01,PL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-12-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-01-01,AT,0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-01-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-01-01,DE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-01-01,FR,350,2026-06-01,2026-07-01T06:00:00Z,passing
2026-01-01,GB,110,2026-06-01,2026-07-01T06:00:00Z,passing
2026-01-01,NL,735,2026-06-01,2026-07-01T06:00:00Z,passing
2026-01-01,PL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-01-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-02-01,AT,0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-02-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-02-01,DE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-02-01,FR,0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-02-01,GB,440,2026-06-01,2026-07-01T06:00:00Z,passing
2026-02-01,NL,2000,2026-06-01,2026-07-01T06:00:00Z,passing
2026-02-01,PL,125,2026-06-01,2026-07-01T06:00:00Z,passing
2026-02-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-03-01,AT,1025,2026-06-01,2026-07-01T06:00:00Z,passing
2026-03-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-03-01,DE,1480,2026-06-01,2026-07-01T06:00:00Z,passing
2026-03-01,FR,2585,2026-06-01,2026-07-01T06:00:00Z,passing
2026-03-01,GB,370,2026-06-01,2026-07-01T06:00:00Z,passing
2026-03-01,NL,2255,2026-06-01,2026-07-01T06:00:00Z,passing
2026-03-01,PL,3340,2026-06-01,2026-07-01T06:00:00Z,passing
2026-03-01,SE,1825,2026-06-01,2026-07-01T06:00:00Z,passing
2026-04-01,AT,260,2026-06-01,2026-07-01T06:00:00Z,passing
2026-04-01,CH,440,2026-06-01,2026-07-01T06:00:00Z,passing
2026-04-01,DE,480,2026-06-01,2026-07-01T06:00:00Z,passing
2026-04-01,FR,390,2026-06-01,2026-07-01T06:00:00Z,passing
2026-04-01,GB,155,2026-06-01,2026-07-01T06:00:00Z,passing
2026-04-01,NL,315,2026-06-01,2026-07-01T06:00:00Z,passing
2026-04-01,PL,320,2026-06-01,2026-07-01T06:00:00Z,passing
2026-04-01,SE,390,2026-06-01,2026-07-01T06:00:00Z,passing
2026-05-01,AT,705,2026-06-01,2026-07-01T06:00:00Z,passing
2026-05-01,CH,535,2026-06-01,2026-07-01T06:00:00Z,passing
2026-05-01,DE,450,2026-06-01,2026-07-01T06:00:00Z,passing
2026-05-01,FR,480,2026-06-01,2026-07-01T06:00:00Z,passing
2026-05-01,GB,190,2026-06-01,2026-07-01T06:00:00Z,passing
2026-05-01,NL,615,2026-06-01,2026-07-01T06:00:00Z,passing
2026-05-01,PL,395,2026-06-01,2026-07-01T06:00:00Z,passing
2026-05-01,SE,480,2026-06-01,2026-07-01T06:00:00Z,passing
2026-06-01,AT,600,2026-06-01,2026-07-01T06:00:00Z,passing
2026-06-01,CH,1015,2026-06-01,2026-07-01T06:00:00Z,passing
2026-06-01,DE,850,2026-06-01,2026-07-01T06:00:00Z,passing
2026-06-01,FR,910,2026-06-01,2026-07-01T06:00:00Z,passing
2026-06-01,GB,360,2026-06-01,2026-07-01T06:00:00Z,passing
2026-06-01,NL,725,2026-06-01,2026-07-01T06:00:00Z,passing
2026-06-01,PL,925,2026-06-01,2026-07-01T06:00:00Z,passing
2026-06-01,SE,910,2026-06-01,2026-07-01T06:00:00Z,passing
