datum;kennzeichen;produkt;menge;einheit;betrag_eur
13.02.2025;XX-KP 111;Diesel;63,02;l;103,98
13.02.2025;XX-KP 112;Diesel;55,11;l;90,93
14.02.2025;XX-KP 113;Diesel;49,76;l;82,10
14.02.2025;XX-KP 114;Diesel;60,34;l;99,56
15.02.2025;XX-KP 101;Diesel;58,23;l;96,08
15.02.2025;XX-KP 102;Diesel;54,69;l;90,24
15.02.2025;XX-KP 106;Shop;1;Stk;8,49
16.02.2025;XX-KP 103;Diesel;52,37;l;86,41
16.02.2025;XX-KP 104;Diesel;61,18;l;100,95
16.02.2025;XX-KP 105;Diesel;48,90;l;80,69
17.02.2025;XX-KP 106;Diesel;57,45;l;94,79
17.02.2025;XX-KP 107;Diesel;63,02;l;103,98
17.02.2025;XX-KP 105;Waesche;1;Stk;12,90
18.02.2025;XX-KP 108;Diesel;55,11;l;90,93
18.02.2025;XX-KP 109;Diesel;49,76;l;82,10
19.02.2025;XX-KP 110;Diesel;60,34;l;99,56
19.02.2025;XX-KP 111;Diesel;58,23;l;96,08
20.02.2025;XX-KP 112;Diesel;54,69;l;90,24
20.02.2025;XX-KP 113;Diesel;52,37;l;86,41
20.02.2025;XX-KP 102;AdBlue;50,00;l;45,00
21.02.2025;XX-KP 114;Diesel;61,18;l;100,95
21.02.2025;XX-KP 101;Diesel;48,90;l;80,69
22.02.2025;XX-KP 102;Diesel;57,45;l;94,79
22.02.2025;XX-KP 103;Diesel;63,02;l;103,98
23.02.2025;XX-KP 104;Diesel;55,11;l;90,93
23.02.2025;XX-KP 105;Diesel;49,76;l;82,10
23.02.2025;XX-KP 106;Diesel;60,34;l;99,56
24.02.2025;XX-KP 107;Diesel;58,23;l;96,08
24.02.2025;XX-KP 108;Diesel;54,69;l;90,24
25.02.2025;XX-KP 109;Diesel;52,37;l;86,41
25.02.2025;XX-KP 110;Diesel;61,18;l;100,95
26.02.2025;XX-KP 111;Diesel;48,90;l;80,69
26.02.2025;XX-KP 112;Diesel;57,45;l;94,79
27.02.2025;XX-KP 113;Diesel;74,85;l;123,50
02.03.2025;XX-KP 101;Diesel;52,37;l;86,41
02.03.2025;XX-KP 102;Diesel;61,18;l;100,95
02.03.2025;XX-KP 103;Diesel;48,90;l;80,69
03.03.2025;XX-KP 104;Diesel;57,45;l;94,79
03.03.2025;XX-KP 105;Diesel;63,02;l;103,98
04.03.2025;XX-KP 106;Diesel;55,11;l;90,93
04.03.2025;XX-KP 107;Diesel;49,76;l;82,10
05.03.2025;XX-KP 108;Diesel;60,34;l;99,56
05.03.2025;XX-KP 109;Diesel;58,23;l;96,08
06.03.2025;XX-KP 110;Diesel;54,69;l;90,24
06.03.2025;XX-KP 111;Diesel;52,37;l;86,41
07.03.2025;XX-KP 112;Diesel;61,18;l;100,95
07.03.2025;XX-KP 113;Diesel;48,90;l;80,69
08.03.2025;XX-KP 114;Diesel;57,45;l;94,79
08.03.2025;XX-KP 101;Diesel;63,02;l;103,98
09.03.2025;XX-KP 102;Diesel;55,11;l;90,93
09.03.2025;XX-KP 103;Diesel;49,76;l;82,10
09.03.2025;XX-KP 104;Diesel;60,34;l;99,56
10.03.2025;XX-KP 105;Diesel;58,23;l;96,08
10.03.2025;XX-KP 106;Diesel;54,69;l;90,24
10.03.2025;XX-KP 101;AdBlue;50,00;l;45,00
11.03.2025;XX-KP 107;Diesel;52,37;l;86,41
11.03.2025;XX-KP 108;Diesel;61,18;l;100,95
12.03.2025;XX-KP 109;Diesel;48,90;l;80,69
12.03.2025;XX-KP 110;Diesel;57,45;l;94,79
12.03.2025;XX-KP 104;Waesche;1;Stk;12,90
13.03.2025;XX-KP 111;Diesel;63,02;l;103,98
13.03.2025;XX-KP 112;Diesel;55,11;l;90,93
14.03.2025;XX-KP 113;Diesel;49,76;l;82,10
14.03.2025;XX-KP 114;Diesel;60,34;l;99,56
15.03.2025;XX-KP 101;Diesel;58,23;l;96,08
15.03.2025;XX-KP 102;Diesel;54,69;l;90,24
15.03.2025;XX-KP 106;Shop;1;Stk;8,49
16.03.2025;XX-KP 103;Diesel;52,37;l;86,41
16.03.2025;XX-KP 104;Diesel;61,18;l;100,95
16.03.2025;XX-KP 105;Diesel;48,90;l;80,69
17.03.2025;XX-KP 106;Diesel;57,45;l;94,79
17.03.2025;XX-KP 107;Diesel;63,02;l;103,98
17.03.2025;XX-KP 105;Waesche;1;Stk;12,90
18.03.2025;XX-KP 108;Diesel;55,11;l;90,93
18.03.2025;XX-KP 109;Diesel;49,76;l;82,10
19.03.2025;XX-KP 110;Diesel;60,34;l;99,56
19.03.2025;XX-KP 111;Diesel;58,23;l;96,08
20.03.2025;XX-KP 112;Diesel;54,69;l;90,24
20.03.2025;XX-KP 113;Diesel;52,37;l;86,41
20.03.2025;XX-KP 102;AdBlue;50,00;l;45,00
21.03.2025;XX-KP 114;Diesel;61,18;l;100,95
21.03.2025;XX-KP 101;Diesel;48,90;l;80,69
22.03.2025;XX-KP 102;Diesel;57,45;l;94,79
22.03.2025;XX-KP 103;Diesel;63,02;l;103,98
23.03.2025;XX-KP 104;Diesel;55,11;l;90,93
23.03.2025;XX-KP 105;Diesel;49,76;l;82,10
23.03.2025;XX-KP 106;Diesel;60,34;l;99,56
24.03.2025;XX-KP 107;Diesel;58,23;l;96,08
24.03.2025;XX-KP 108;Diesel;54,69;l;90,24
25.03.2025;XX-KP 109;Diesel;52,37;l;86,41
25.03.2025;XX-KP 110;Diesel;61,18;l;100,95
26.03.2025;XX-KP 111;Diesel;48,90;l;80,69
26.03.2025;XX-KP 112;Diesel;57,45;l;94,79
27.03.2025;XX-KP 113;Diesel;63,02;l;103,98
27.03.2025;XX-KP 114;Diesel;55,11;l;90,93
28.03.2025;XX-KP 101;Diesel;49,76;l;82,10
28.03.2025;XX-KP 102;Diesel;60,34;l;99,56
29.03.2025;XX-KP 103;Diesel;46,62;l;76,92
02.04.2025;XX-KP 101;Diesel;52,37;l;86,41
02.04.2025;XX-KP 102;Diesel;61,18;l;100,95
02.04.2025;XX-KP 103;Diesel;48,90;l;80,69
03.04.2025;XX-KP 104;Diesel;57,45;l;94,79
03.04.2025;XX-KP 105;Diesel;63,02;l;103,98
04.04.2025;XX-KP 106;Diesel;55,11;l;90,93
04.04.2025;XX-KP 107;Diesel;49,76;l;82,10
05.04.2025;XX-KP 108;Diesel;60,34;l;99,56
05.04.2025;XX-KP 109;Diesel;58,23;l;96,08
06.04.2025;XX-KP 110;Diesel;54,69;l;90,24
06.04.2025;XX-KP 111;Diesel;52,37;l;86,41
07.04.2025;XX-KP 112;Diesel;61,18;l;100,95
07.04.2025;XX-KP 113;Diesel;48,90;l;80,69
08.04.2025;XX-KP 114;Diesel;57,45;l;94,79
08.04.2025;XX-KP 101;Diesel;63,02;l;103,98
09.04.2025;XX-KP 102;Diesel;55,11;l;90,93
09.04.2025;XX-KP 103;Diesel;49,76;l;82,10
09.04.2025;XX-KP 104;Diesel;60,34;l;99,56
10.04.2025;XX-KP 105;Diesel;58,23;l;96,08
10.04.2025;XX-KP 106;Diesel;54,69;l;90,24
10.04.2025;XX-KP 101;AdBlue;50,00;l;45,00
11.04.2025;XX-KP 107;Diesel;52,37;l;86,41
11.04.2025;XX-KP 108;Diesel;61,18;l;100,95
12.04.2025;XX-KP 109;Diesel;48,90;l;80,69
12.04.2025;XX-KP 110;Diesel;57,45;l;94,79
12.04.2025;XX-KP 104;Waesche;1;Stk;12,90
13.04.2025;XX-KP 111;Diesel;63,02;l;103,98
13.04.2025;XX-KP 112;Diesel;55,11;l;90,93
14.04.2025;XX-KP 113;Diesel;49,76;l;82,10
14.04.2025;XX-KP 114;Diesel;60,34;l;99,56
15.04.2025;XX-KP 101;Diesel;58,23;l;96,08
15.04.2025;XX-KP 102;Diesel;54,69;l;90,24
15.04.2025;XX-KP 106;Shop;1;Stk;8,49
16.04.2025;XX-KP 103;Diesel;52,37;l;86,41
16.04.2025;XX-KP 104;Diesel;61,18;l;100,95
16.04.2025;XX-KP 105;Diesel;48,90;l;80,69
17.04.2025;XX-KP 106;Diesel;57,45;l;94,79
17.04.2025;XX-KP 107;Diesel;63,02;l;103,98
17.04.2025;XX-KP 105;Waesche;1;Stk;12,90
18.04.2025;XX-KP 108;Diesel;55,11;l;90,93
18.04.2025;XX-KP 109;Diesel;49,76;l;82,10
19.04.2025;XX-KP 110;Diesel;60,34;l;99,56
19.04.2025;XX-KP 111;Diesel;58,23;l;96,08
20.04.2025;XX-KP 112;Diesel;54,69;l;90,24
20.04.2025;XX-KP 113;Diesel;52,37;l;86,41
20.04.2025;XX-KP 102;AdBlue;50,00;l;45,00
21.04.2025;XX-KP 114;Diesel;61,18;l;100,95
21.04.2025;XX-KP 101;Diesel;48,90;l;80,69
22.04.2025;XX-KP 102;Diesel;57,45;l;94,79
22.04.2025;XX-KP 103;Diesel;63,02;l;103,98
23.04.2025;XX-KP 104;Diesel;55,11;l;90,93
23.04.2025;XX-KP 105;Diesel;49,76;l;82,10
23.04.2025;XX-KP 106;Diesel;60,34;l;99,56
24.04.2025;XX-KP 107;Diesel;58,23;l;96,08
24.04.2025;XX-KP 108;Diesel;54,69;l;90,24
25.04.2025;XX-KP 109;Diesel;52,37;l;86,41
25.04.2025;XX-KP 110;Diesel;61,18;l;100,95
26.04.2025;XX-KP 111;Diesel;48,90;l;80,69
26.04.2025;XX-KP 112;Diesel;57,45;l;94,79
27.04.2025;XX-KP 113;Diesel;63,02;l;103,98
27.04.2025;XX-KP 114;Diesel;55,11;l;90,93
28.04.2025;XX-KP 101;Diesel;56,72;l;93,59
02.05.2025;XX-KP 101;Diesel;52,37;l;86,41
02.05.2025;XX-KP 102;Diesel;61,18;l;100,95
02.05.2025;XX-KP 103;Diesel;48,90;l;80,69
03.05.2025;XX-KP 104;Diesel;57,45;l;94,79
03.05.2025;XX-KP 105;Diesel;63,02;l;103,98
04.05.2025;XX-KP 106;Diesel;55,11;l;90,93
04.05.2025;XX-KP 107;Diesel;49,76;l;82,10
05.05.2025;XX-KP 108;Diesel;60,34;l;99,56
05.05.2025;XX-KP 109;Diesel;58,23;l;96,08
06.05.2025;XX-KP 110;Diesel;54,69;l;90,24
06.05.2025;XX-KP 111;Diesel;52,37;l;86,41
07.05.2025;XX-KP 112;Diesel;61,18;l;100,95
07.05.2025;XX-KP 113;Diesel;48,90;l;80,69
08.05.2025;XX-KP 114;Diesel;57,45;l;94,79
08.05.2025;XX-KP 101;Diesel;63,02;l;103,98
09.05.2025;XX-KP 102;Diesel;55,11;l;90,93
09.05.2025;XX-KP 103;Diesel;49,76;l;82,10
09.05.2025;XX-KP 104;Diesel;60,34;l;99,56
10.05.2025;XX-KP 105;Diesel;58,23;l;96,08
10.05.2025;XX-KP 106;Diesel;54,69;l;90,24
10.05.2025;XX-KP 101;AdBlue;50,00;l;45,00
11.05.2025;XX-KP 107;Diesel;52,37;l;86,41
11.05.2025;XX-KP 108;Diesel;61,18;l;100,95
12.05.2025;XX-KP 109;Diesel;48,90;l;80,69
12.05.2025;XX-KP 110;Diesel;57,45;l;94,79
12.05.2025;XX-KP 104;Waesche;1;Stk;12,90
13.05.2025;XX-KP 111;Diesel;63,02;l;103,98
13.05.2025;XX-KP 112;Diesel;55,11;l;90,93
14.05.2025;XX-KP 113;Diesel;49,76;l;82,10
14.05.2025;XX-KP 114;Diesel;60,34;l;99,56
15.05.2025;XX-KP 101;Diesel;58,23;l;96,08
15.05.2025;XX-KP 102;Diesel;54,69;l;90,24
15.05.2025;XX-KP 106;Shop;1;Stk;8,49
16.05.2025;XX-KP 103;Diesel;52,37;l;86,41
16.05.2025;XX-KP 104;Diesel;61,18;l;100,95
16.05.2025;XX-KP 105;Diesel;48,90;l;80,69
17.05.2025;XX-KP 106;Diesel;57,45;l;94,79
17.05.2025;XX-KP 107;Diesel;63,02;l;103,98
17.05.2025;XX-KP 105;Waesche;1;Stk;12,90
18.05.2025;XX-KP 108;Diesel;55,11;l;90,93
18.05.2025;XX-KP 109;Diesel;49,76;l;82,10
19.05.2025;XX-KP 110;Diesel;60,34;l;99,56
19.05.2025;XX-KP 111;Diesel;58,23;l;96,08
20.05.2025;XX-KP 112;Diesel;54,69;l;90,24
20.05.2025;XX-KP 113;Diesel;52,37;l;86,41
20.05.2025;XX-KP 102;AdBlue;50,00;l;45,00
21.05.2025;XX-KP 114;Diesel;61,18;l;100,95
21.05.2025;XX-KP 101;Diesel;48,90;l;80,69
22.05.2025;XX-KP 102;Diesel;57,45;l;94,79
22.05.2025;XX-KP 103;Diesel;63,02;l;103,98
23.05.2025;XX-KP 104;Diesel;55,11;l;90,93
23.05.2025;XX-KP 105;Diesel;49,76;l;82,10
23.05.2025;XX-KP 106;Diesel;60,34;l;99,56
24.05.2025;XX-KP 107;Diesel;58,23;l;96,08
24.05.2025;XX-KP 108;Diesel;54,69;l;90,24
25.05.2025;XX-KP 109;Diesel;52,37;l;86,41
25.05.2025;XX-KP 110;Diesel;61,18;l;100,95
26.05.2025;XX-KP 111;Diesel;48,90;l;80,69
26.05.2025;XX-KP 112;Diesel;57,45;l;94,79
27.05.2025;XX-KP 113;Diesel;63,02;l;103,98
27.05.2025;XX-KP 114;Diesel;55,11;l;90,93
28.05.2025;XX-KP 101;Diesel;56,72;l;93,59
02.06.2025;XX-KP 101;Diesel;52,37;l;86,41
02.06.2025;XX-KP 102;Diesel;61,18;l;100,95
02.06.2025;XX-KP 103;Diesel;48,90;l;80,69
03.06.2025;XX-KP 104;Diesel;57,45;l;94,79
03.06.2025;XX-KP 105;Diesel;63,02;l;103,98
04.06.2025;XX-KP 106;Diesel;55,11;l;90,93
04.06.2025;XX-KP 107;Diesel;49,76;l;82,10
05.06.2025;XX-KP 108;Diesel;60,34;l;99,56
05.06.2025;XX-KP 109;Diesel;58,23;l;96,08
06.06.2025;XX-KP 110;Diesel;54,69;l;90,24
06.06.2025;XX-KP 111;Diesel;52,37;l;86,41
07.06.2025;XX-KP 112;Diesel;61,18;l;100,95
07.06.2025;XX-KP 113;Diesel;48,90;l;80,69
08.06.2025;XX-KP 114;Diesel;57,45;l;94,79
08.06.2025;XX-KP 101;Diesel;63,02;l;103,98
09.06.2025;XX-KP 102;Diesel;55,11;l;90,93
09.06.2025;XX-KP 103;Diesel;49,76;l;82,10
09.06.2025;XX-KP 104;Diesel;60,34;l;99,56
10.06.2025;XX-KP 105;Diesel;58,23;l;96,08
10.06.2025;XX-KP 106;Diesel;54,69;l;90,24
10.06.2025;XX-KP 101;AdBlue;50,00;l;45,00
11.06.2025;XX-KP 107;Diesel;52,37;l;86,41
11.06.2025;XX-KP 108;Diesel;61,18;l;100,95
12.06.2025;XX-KP 109;Diesel;48,90;l;80,69
12.06.2025;XX-KP 110;Diesel;57,45;l;94,79
12.06.2025;XX-KP 104;Waesche;1;Stk;12,90
13.06.2025;XX-KP 111;Diesel;63,02;l;103,98
13.06.2025;XX-KP 112;Diesel;55,11;l;90,93
14.06.2025;XX-KP 113;Diesel;49,76;l;82,10
14.06.2025;XX-KP 114;Diesel;60,34;l;99,56
15.06.2025;XX-KP 101;Diesel;58,23;l;96,08
15.06.2025;XX-KP 102;Diesel;54,69;l;90,24
15.06.2025;XX-KP 106;Shop;1;Stk;8,49
16.06.2025;XX-KP 103;Diesel;52,37;l;86,41
16.06.2025;XX-KP 104;Diesel;61,18;l;100,95
16.06.2025;XX-KP 105;Diesel;48,90;l;80,69
17.06.2025;XX-KP 106;Diesel;57,45;l;94,79
17.06.2025;XX-KP 107;Diesel;63,02;l;103,98
17.06.2025;XX-KP 105;Waesche;1;Stk;12,90
18.06.2025;XX-KP 108;Diesel;55,11;l;90,93
18.06.2025;XX-KP 109;Diesel;49,76;l;82,10
19.06.2025;XX-KP 110;Diesel;60,34;l;99,56
19.06.2025;XX-KP 111;Diesel;58,23;l;96,08
20.06.2025;XX-KP 112;Diesel;54,69;l;90,24
20.06.2025;XX-KP 113;Diesel;52,37;l;86,41
20.06.2025;XX-KP 102;AdBlue;50,00;l;45,00
21.06.2025;XX-KP 114;Diesel;61,18;l;100,95
21.06.2025;XX-KP 101;Diesel;48,90;l;80,69
22.06.2025;XX-KP 102;Diesel;57,45;l;94,79
22.06.2025;XX-KP 103;Diesel;63,02;l;103,98
23.06.2025;XX-KP 104;Diesel;55,11;l;90,93
23.06.2025;XX-KP 105;Diesel;49,76;l;82,10
23.06.2025;XX-KP 106;Diesel;60,34;l;99,56
24.06.2025;XX-KP 107;Diesel;58,23;l;96,08
24.06.2025;XX-KP 108;Diesel;54,69;l;90,24
25.06.2025;XX-KP 109;Diesel;52,37;l;86,41
25.06.2025;XX-KP 110;Diesel;61,18;l;100,95
26.06.2025;XX-KP 111;Diesel;48,90;l;80,69
26.06.2025;XX-KP 112;Diesel;57,45;l;94,79
27.06.2025;XX-KP 113;Diesel;74,85;l;123,50
02.07.2025;XX-KP 101;Diesel;52,37;l;86,41
02.07.2025;XX-KP 102;Diesel;61,18;l;100,95
02.07.2025;XX-KP 103;Diesel;48,90;l;80,69
03.07.2025;XX-KP 104;Diesel;57,45;l;94,79
03.07.2025;XX-KP 105;Diesel;63,02;l;103,98
04.07.2025;XX-KP 106;Diesel;55,11;l;90,93
04.07.2025;XX-KP 107;Diesel;49,76;l;82,10
05.07.2025;XX-KP 108;Diesel;60,34;l;99,56
05.07.2025;XX-KP 109;Diesel;58,23;l;96,08
06.07.2025;XX-KP 110;Diesel;54,69;l;90,24
06.07.2025;XX-KP 111;Diesel;52,37;l;86,41
07.07.2025;XX-KP 112;Diesel;61,18;l;100,95
07.07.2025;XX-KP 113;Diesel;48,90;l;80,69
08.07.2025;XX-KP 114;Diesel;57,45;l;94,79
08.07.2025;XX-KP 101;Diesel;63,02;l;103,98
09.07.2025;XX-KP 102;Diesel;55,11;l;90,93
09.07.2025;XX-KP 103;Diesel;49,76;l;82,10
09.07.2025;XX-KP 104;Diesel;60,34;l;99,56
10.07.2025;XX-KP 105;Diesel;58,23;l;96,08
10.07.2025;XX-KP 106;Diesel;54,69;l;90,24
10.07.2025;XX-KP 101;AdBlue;50,00;l;45,00
11.07.2025;XX-KP 107;Diesel;52,37;l;86,41
11.07.2025;XX-KP 108;Diesel;61,18;l;100,95
12.07.2025;XX-KP 109;Diesel;48,90;l;80,69
12.07.2025;XX-KP 110;Diesel;57,45;l;94,79
12.07.2025;XX-KP 104;Waesche;1;Stk;12,90
13.07.2025;XX-KP 111;Diesel;63,02;l;103,98
13.07.2025;XX-KP 112;Diesel;55,11;l;90,93
14.07.2025;XX-KP 113;Diesel;49,76;l;82,10
14.07.2025;XX-KP 114;Diesel;60,34;l;99,56
15.07.2025;XX-KP 101;Diesel;58,23;l;96,08
15.07.2025;XX-KP 102;Diesel;54,69;l;90,24
15.07.2025;XX-KP 106;Shop;1;Stk;8,49
16.07.2025;XX-KP 103;Diesel;52,37;l;86,41
16.07.2025;XX-KP 104;Diesel;61,18;l;100,95
16.07.2025;XX-KP 105;Diesel;48,90;l;80,69
17.07.2025;XX-KP 106;Diesel;57,45;l;94,79
17.07.2025;XX-KP 107;Diesel;63,02;l;103,98
17.07.2025;XX-KP 105;Waesche;1;Stk;12,90
18.07.2025;XX-KP 108;Diesel;55,11;l;90,93
18.07.2025;XX-KP 109;Diesel;49,76;l;82,10
19.07.2025;XX-KP 110;Diesel;60,34;l;99,56
19.07.2025;XX-KP 111;Diesel;58,23;l;96,08
20.07.2025;XX-KP 112;Diesel;54,69;l;90,24
20.07.2025;XX-KP 113;Diesel;52,37;l;86,41
20.07.2025;XX-KP 102;AdBlue;50,00;l;45,00
21.07.2025;XX-KP 114;Diesel;61,18;l;100,95
21.07.2025;XX-KP 101;Diesel;48,90;l;80,69
22.07.2025;XX-KP 102;Diesel;57,45;l;94,79
22.07.2025;XX-KP 103;Diesel;63,02;l;103,98
23.07.2025;XX-KP 104;Diesel;55,11;l;90,93
23.07.2025;XX-KP 105;Diesel;49,76;l;82,10
23.07.2025;XX-KP 106;Diesel;60,34;l;99,56
24.07.2025;XX-KP 107;Diesel;58,23;l;96,08
24.07.2025;XX-KP 108;Diesel;54,69;l;90,24
25.07.2025;XX-KP 109;Diesel;52,37;l;86,41
25.07.2025;XX-KP 110;Diesel;61,18;l;100,95
26.07.2025;XX-KP 111;Diesel;48,90;l;80,69
26.07.2025;XX-KP 112;Diesel;32,30;l;53,30
02.08.2025;XX-KP 101;Diesel;52,37;l;86,41
02.08.2025;XX-KP 102;Diesel;61,18;l;100,95
02.08.2025;XX-KP 103;Diesel;48,90;l;80,69
03.08.2025;XX-KP 104;Diesel;57,45;l;94,79
03.08.2025;XX-KP 105;Diesel;63,02;l;103,98
04.08.2025;XX-KP 106;Diesel;55,11;l;90,93
04.08.2025;XX-KP 107;Diesel;49,76;l;82,10
05.08.2025;XX-KP 108;Diesel;60,34;l;99,56
05.08.2025;XX-KP 109;Diesel;58,23;l;96,08
06.08.2025;XX-KP 110;Diesel;54,69;l;90,24
06.08.2025;XX-KP 111;Diesel;52,37;l;86,41
07.08.2025;XX-KP 112;Diesel;61,18;l;100,95
07.08.2025;XX-KP 113;Diesel;48,90;l;80,69
08.08.2025;XX-KP 114;Diesel;57,45;l;94,79
08.08.2025;XX-KP 101;Diesel;63,02;l;103,98
09.08.2025;XX-KP 102;Diesel;55,11;l;90,93
09.08.2025;XX-KP 103;Diesel;49,76;l;82,10
09.08.2025;XX-KP 104;Diesel;60,34;l;99,56
10.08.2025;XX-KP 105;Diesel;58,23;l;96,08
10.08.2025;XX-KP 106;Diesel;54,69;l;90,24
10.08.2025;XX-KP 101;AdBlue;50,00;l;45,00
11.08.2025;XX-KP 107;Diesel;52,37;l;86,41
11.08.2025;XX-KP 108;Diesel;61,18;l;100,95
12.08.2025;XX-KP 109;Diesel;48,90;l;80,69
12.08.2025;XX-KP 110;Diesel;57,45;l;94,79
12.08.2025;XX-KP 104;Waesche;1;Stk;12,90
13.08.2025;XX-KP 111;Diesel;63,02;l;103,98
13.08.2025;XX-KP 112;Diesel;55,11;l;90,93
14.08.2025;XX-KP 113;Diesel;49,76;l;82,10
14.08.2025;XX-KP 114;Diesel;60,34;l;99,56
15.08.2025;XX-KP 101;Diesel;58,23;l;96,08
15.08.2025;XX-KP 102;Diesel;54,69;l;90,24
15.08.2025;XX-KP 106;Shop;1;Stk;8,49
